step,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
